   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.006    0.003 __init__.py:18(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:180(Event)
        1    0.000    0.000    0.000    0.000 __init__.py:181(c_int)
       35    0.000    0.000    0.001    0.000 __init__.py:1811(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:185(c_uint)
        2    0.000    0.000    0.000    0.000 __init__.py:1877(debug)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_float)
        1    0.000    0.000    0.188    0.188 __init__.py:19(<module>)
       57    0.000    0.000    0.000    0.000 __init__.py:19(__new__)
       43    0.000    0.000    0.000    0.000 __init__.py:190(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:1939(NullHandler)
        5    0.000    0.000    0.000    0.000 __init__.py:1955(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:1993(Tk)
        1    0.000    0.000    0.001    0.001 __init__.py:20(<module>)
        1    0.000    0.000    0.033    0.033 __init__.py:21(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:21(BaseEndpoint)
        1    0.000    0.000    0.000    0.000 __init__.py:2115(Pack)
        1    0.000    0.000    0.000    0.000 __init__.py:2154(Place)
        1    0.000    0.000    0.000    0.000 __init__.py:218(c_ubyte)
       49    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:2198(Grid)
        1    0.000    0.000    0.030    0.030 __init__.py:22(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:2245(BaseWidget)
        1    0.000    0.000    0.000    0.000 __init__.py:225(c_byte)
       49    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
        1    0.000    0.000    0.001    0.001 __init__.py:23(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:2307(Widget)
        1    0.000    0.000    0.000    0.000 __init__.py:2314(Toplevel)
        1    0.000    0.000    0.000    0.000 __init__.py:2342(Button)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char_p)
